2018-01-26 15:56:02.168 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources/configuration/security]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2018-01-26 15:56:02.169 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources/configuration/ui]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
2018-01-26 15:56:02.170 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register(549) - Mapped "{[/swagger-resources]}" onto public org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
2018-01-26 15:56:02.835 INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping.initHandlerMethods(69) - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2018-01-26 15:56:03.150 INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(568) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Fri Jan 26 15:55:56 CST 2018]; parent: Root WebApplicationContext
2018-01-26 15:56:03.370 INFO  org.springframework.context.support.DefaultLifecycleProcessor.start(353) - Starting beans in phase 2147483647
2018-01-26 15:56:03.371 INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper.start(147) - Context refreshed
2018-01-26 15:56:03.416 INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper.start(150) - Found 1 custom documentation plugin(s)
2018-01-26 15:56:03.516 INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner.scan(41) - Scanning for api listing references
2018-01-26 15:56:03.931 INFO  org.springframework.web.servlet.DispatcherServlet.initServletBean(513) - FrameworkServlet 'SpringMVC': initialization completed in 7123 ms
2018-01-26 15:56:23.623 INFO  org.springframework.web.context.support.XmlWebApplicationContext.doClose(989) - Closing WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Fri Jan 26 15:55:56 CST 2018]; parent: Root WebApplicationContext
2018-01-26 15:56:23.626 INFO  org.springframework.context.support.DefaultLifecycleProcessor.stop(368) - Stopping beans in phase 2147483647
